,name,date,AFG,ALB,DZA,AGO,ARG,ARM,ABW,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,MMR,BDI,KHM,CMR,CAN,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FIN,FRA,GUF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GTM,GIN,GNB,GUY,HTI,HND,HUN,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MEX,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,MDA,ROU,RUS,RWA,SAU,SEN,SRB,SLE,SVK,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,SYR,TWN,TJK,THA,MKD,TLS,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,WLD
1,Pollination Contribution,1,67.22999999999999,31.980000000000004,42.1,52.06,70.03,14.420000000000002,50.0,50.71,16.0,9.349999999999994,50.0,12.629999999999995,60.36,17.430000000000007,93.11,22.909999999999997,57.22,62.82,50.0,60.22,50.0,74.71000000000001,1.730000000000004,59.63,56.05,50.24,51.48,57.74,45.64,51.85,53.1,37.77,50.46,52.08,93.82,53.94,73.14,96.08,68.74,53.08,60.73,27.78,50.0,76.64,61.23,42.81,70.3,50.0,51.59,79.57,33.72,86.08,26.400000000000006,50.0,52.38,2.450000000000003,14.400000000000006,39.31,46.19,10.010000000000005,53.94,92.55,51.26,40.0,64.28999999999999,96.49,92.65,53.14,47.9,82.78999999999999,43.88,46.57,28.590000000000003,12.049999999999997,33.269999999999996,40.44,99.34,66.95,48.1,54.73,40.06,68.81,67.19,8.189999999999998,31.090000000000003,56.49,94.56,30.870000000000005,37.56,83.98,59.94,62.28,58.37,42.86,63.13,36.83,18.769999999999996,54.33,60.52,79.55,52.25,26.0,49.39,50.0,70.78999999999999,15.540000000000006,50.0,78.5,47.19,41.15,67.03,79.55,43.5,80.28999999999999,82.3,79.64,53.09,55.25,40.82,25.879999999999995,80.32,61.18,38.11,60.0,7.670000000000002,67.18,17.36,39.36,85.6,65.75,50.0,49.95,60.41,34.41,81.0,47.12,50.0,26.239999999999995,61.85,14.620000000000005,65.83,0.730000000000004,58.66,56.31,91.4,66.67,20.299999999999997,58.14,15.129999999999995,45.21,68.73,33.34,28.319999999999993,36.36,63.0,58.54,10.349999999999994,56.45,68.88,47.97,53.72,14.739999999999995,51.0
2,Pollination Contribution,2,69.53999999999999,17.069999999999993,23.659999999999997,51.38,61.72,9.079999999999998,50.0,41.76,12.049999999999997,8.799999999999997,100.0,10.819999999999993,42.01,14.590000000000003,92.15,22.42,62.48,6.3700000000000045,50.0,61.77,50.0,59.36,1.3499999999999943,55.03,61.56,47.28,52.52,57.63,45.18,47.85,60.44,38.67,48.46,54.17,97.58,53.49,57.83,93.05,53.53,23.989999999999995,62.47,25.519999999999996,50.0,76.81,65.11,39.83,61.0,50.0,52.66,66.36,30.200000000000003,78.28999999999999,21.72,50.0,54.76,1.4399999999999977,6.340000000000003,35.7,45.94,8.010000000000005,47.7,91.13,52.62,60.01,64.28999999999999,94.41,90.94,33.56999999999999,46.46,86.81,36.29,39.45,28.540000000000006,15.040000000000006,39.34,35.59,98.92,64.52000000000001,47.53,51.49,40.52,71.16,70.74,1.8400000000000034,27.540000000000006,65.83,81.22,16.290000000000006,15.5,86.3,52.27,37.57,63.91,41.73,65.69,35.480000000000004,17.209999999999994,51.13,60.05,85.35,30.620000000000005,14.920000000000002,49.59,51.67,42.89,14.569999999999993,50.0,82.02,43.66,40.64,56.26,81.62,43.16,78.89,89.87,81.91,61.73,66.62,30.769999999999996,20.060000000000002,77.34,51.66,22.900000000000006,56.08,5.810000000000002,67.93,16.92,13.590000000000003,85.46000000000001,34.93000000000001,100.0,45.88,66.07,26.159999999999997,79.57,46.76,50.0,17.489999999999995,50.06,8.579999999999998,66.57,0.6500000000000057,52.35,28.090000000000003,90.55,66.66,12.75,56.78,13.11,43.72,54.03,33.33,24.709999999999994,34.81999999999999,54.36,21.439999999999998,9.310000000000002,64.56,60.31,41.74,55.18,13.030000000000001,47.61
3,Pollination Contribution,3,71.5,15.870000000000005,21.86,52.09,56.46,8.430000000000007,50.0,35.370000000000005,11.799999999999997,3.769999999999996,100.0,12.370000000000005,38.96,14.189999999999998,91.33,22.269999999999996,67.82,3.4200000000000017,50.0,61.51,50.0,50.28,1.25,56.19,61.05,48.58,54.14,57.24,45.18,47.02,66.22999999999999,37.22,44.69,54.17,97.27,53.39,55.2,90.33,49.42,22.75,64.37,25.17,50.0,73.62,72.27,38.87,57.25,50.0,52.81,61.94,29.590000000000003,73.76,21.08,50.0,54.76,1.3599999999999994,5.920000000000002,35.290000000000006,45.37,7.920000000000002,46.0,90.93,51.67,60.01,67.86,93.44,90.12,30.930000000000007,46.21,84.88,34.730000000000004,37.26,28.400000000000006,15.019999999999996,39.41,33.39,98.92,63.97,54.48,49.05,39.04,71.63,71.02,0.6700000000000017,25.36,70.13,75.11,13.189999999999998,9.560000000000002,92.18,48.6,31.439999999999998,62.16,42.0,67.56,35.34,16.810000000000002,50.2,58.37,87.03999999999999,31.319999999999993,12.680000000000007,50.21,51.67,39.38,14.060000000000002,50.0,81.7,40.48,40.33,50.69,81.61,40.94,78.33,92.06,74.28999999999999,69.66,67.50999999999999,28.849999999999994,17.040000000000006,75.49,44.8,20.459999999999994,51.43,5.609999999999999,67.74000000000001,16.790000000000006,9.530000000000001,85.44,31.450000000000003,100.0,44.27,60.78,24.0,78.02,45.72,58.33,13.019999999999996,46.61,8.450000000000003,63.92,0.6099999999999994,53.65,22.310000000000002,88.99,66.66,11.519999999999996,56.63,10.86,45.88,47.14,33.33,23.989999999999995,36.09,50.72,13.590000000000003,9.370000000000005,65.62,55.64,41.17,55.66,11.319999999999993,46.61
4,Pollination Contribution,4,76.38,17.97,18.840000000000003,51.31,45.05,8.510000000000005,75.0,26.840000000000003,11.519999999999996,3.700000000000003,100.0,11.0,37.5,13.0,77.88,4.760000000000005,77.19,5.159999999999997,50.0,66.43,66.67,47.56,1.1599999999999966,60.68,51.28,49.35,54.76,57.95,45.45,45.92,76.58,37.03,40.22,66.21000000000001,87.42,51.73,56.84,72.69,50.18,22.47,74.37,24.569999999999993,50.0,51.56,52.16,33.47,42.48,50.0,51.69,62.44,33.03,72.0,20.599999999999994,100.0,64.25,1.8499999999999943,8.269999999999996,34.53,44.71,7.900000000000006,43.98,83.99,41.75,68.15,67.25,41.09,79.72,32.510000000000005,43.5,78.31,27.909999999999997,27.010000000000005,28.340000000000003,15.019999999999996,32.94,32.67,94.63,58.35,44.45,39.53,35.56,66.25999999999999,66.19,0.0,15.89,69.26,71.36,3.1700000000000017,1.9200000000000017,92.38,53.44,29.010000000000005,62.27,38.68,77.22,19.5,16.450000000000003,43.93,51.71,92.39,34.06999999999999,12.280000000000001,46.92,52.71,11.11,13.670000000000002,41.45,82.64,39.92,30.060000000000002,49.58,82.16,36.89,81.43,93.57,69.84,83.51,72.98,27.799999999999997,16.370000000000005,66.68,38.42,20.36,52.36,4.709999999999994,71.81,16.540000000000006,11.939999999999998,85.56,31.849999999999994,100.0,26.299999999999997,27.25,22.47,71.25,42.15,66.67,4.159999999999997,45.51,6.519999999999996,61.28,0.75,50.91,26.760000000000005,77.8,81.0,10.129999999999995,50.14,8.569999999999993,40.91,42.4,50.01,23.64,26.370000000000005,37.49,13.400000000000006,0.4099999999999966,48.99,50.39,38.61,56.47,19.040000000000006,44.41
5,Pollination Contribution,5,69.38,24.049999999999997,9.090000000000003,51.11,36.5,8.980000000000004,100.0,20.03,13.849999999999994,8.439999999999998,80.98,6.569999999999993,29.480000000000004,15.340000000000003,64.93,4.579999999999998,67.06,14.810000000000002,58.48,58.04,99.97,45.83,1.2399999999999949,55.69,34.849999999999994,45.33,54.5,56.62,41.65,46.99,72.55,26.959999999999994,38.95,84.87,65.03999999999999,31.700000000000003,60.37,30.349999999999994,54.57,22.939999999999998,86.35,24.790000000000006,50.0,32.92,39.38,26.89,25.739999999999995,100.0,34.209999999999994,70.36,30.269999999999996,82.91,25.980000000000004,100.0,84.9,4.269999999999996,8.670000000000002,35.53,32.86,10.200000000000003,51.41,76.63,11.980000000000004,37.26,79.28,6.739999999999995,64.18,36.08,36.7,75.67,17.510000000000005,17.340000000000003,27.590000000000003,15.060000000000002,29.97,40.32,54.59,71.84,41.04,17.200000000000003,26.400000000000006,66.88,75.43,0.0,1.5400000000000063,70.28,75.87,1.3599999999999994,2.3799999999999955,72.5,51.58,31.450000000000003,46.35,31.42,88.96000000000001,20.650000000000006,18.58,19.069999999999993,38.74,92.05,41.66,10.950000000000003,40.82,45.63,2.239999999999995,11.680000000000007,14.310000000000002,61.34,37.05,16.17,65.97,43.44,31.269999999999996,56.55,93.16,62.87,67.15,79.92,26.069999999999993,26.03,36.1,27.980000000000004,21.310000000000002,57.53,4.519999999999996,61.13,4.689999999999998,17.310000000000002,67.45,38.35,100.0,24.519999999999996,16.08,34.599999999999994,48.76,37.79,83.33,4.920000000000002,61.46,5.420000000000002,23.33,0.9699999999999989,46.8,38.35,69.67,97.12,4.150000000000006,41.52,8.209999999999994,36.27,32.0,66.74000000000001,25.510000000000005,19.129999999999995,37.84,13.219999999999999,0.39000000000000057,37.73,43.78,41.31,54.55,17.590000000000003,40.76
6,Pollination Contribution,6,68.47,33.28,8.730000000000004,52.07,32.95,7.599999999999994,100.0,18.909999999999997,22.730000000000004,12.510000000000005,9.939999999999998,3.280000000000001,32.540000000000006,11.430000000000007,54.66,2.5999999999999943,54.49,71.44,71.57,55.16,96.62,61.39,1.3799999999999955,44.78,23.180000000000007,34.45,46.64,59.61,39.14,41.22,78.39,23.799999999999997,33.400000000000006,84.78,58.24,24.86,74.14,23.78,66.53,29.010000000000005,86.17,33.83,100.0,27.010000000000005,32.510000000000005,21.97,20.379999999999995,100.0,31.58,84.28,27.870000000000005,85.72,32.18000000000001,99.47,90.66,4.900000000000006,6.159999999999997,39.87,29.08,23.17,62.55,63.67,4.799999999999997,23.659999999999997,79.18,3.9200000000000017,56.35,41.47,35.459999999999994,67.74000000000001,10.530000000000001,15.120000000000005,34.84,12.030000000000001,28.680000000000007,48.97,43.21,80.38,40.42,12.299999999999997,21.810000000000002,68.31,76.33,0.0,1.3499999999999943,59.61,85.86,1.2000000000000028,2.4200000000000017,61.29,47.29,47.94,34.989999999999995,26.14,85.57,21.33,35.22,12.900000000000006,34.86,97.16,60.34,11.010000000000005,37.63,34.42,2.239999999999995,12.189999999999998,15.680000000000007,54.39,34.81,10.670000000000002,72.59,25.180000000000007,31.560000000000002,47.82,92.6,61.16,58.11,74.45,32.099999999999994,40.92,22.959999999999994,33.150000000000006,33.150000000000006,58.0,4.0,48.81,6.340000000000003,37.73,37.96,45.49,99.54,19.22,17.909999999999997,48.54,45.7,29.310000000000002,83.26,4.560000000000002,70.24,4.480000000000004,11.670000000000002,0.9699999999999989,32.349999999999994,56.89,45.88,96.43,3.469999999999999,38.88,8.200000000000003,31.849999999999994,37.65,38.09,31.379999999999995,16.36,40.27,9.299999999999997,0.39000000000000057,31.760000000000005,27.650000000000006,26.939999999999998,50.87,16.700000000000003,39.8
7,Pollination Contribution,7,69.6,36.34,1.0699999999999932,63.89,36.75,8.409999999999997,100.0,19.209999999999994,32.349999999999994,15.430000000000007,50.0,4.510000000000005,38.2,15.260000000000005,68.21000000000001,2.6200000000000045,66.61,79.03,73.05,56.14,97.9,63.64,1.3900000000000006,45.13,23.430000000000007,35.56999999999999,52.19,62.83,30.340000000000003,43.71,79.62,26.980000000000004,37.68,83.28,70.88,24.260000000000005,75.73,38.1,68.01,35.92,86.94,40.33,100.0,34.44,37.77,6.8700000000000045,25.790000000000006,99.65,30.97,86.33,25.209999999999994,81.72,41.3,100.0,91.39,4.939999999999998,7.430000000000007,45.41,27.159999999999997,30.290000000000006,64.9,80.21000000000001,4.989999999999995,25.840000000000003,79.16,9.989999999999995,71.22,51.08,36.03,72.68,3.4399999999999977,10.319999999999993,37.09,11.530000000000001,4.159999999999997,55.71,66.5,79.72,21.319999999999993,13.659999999999997,20.799999999999997,70.86,77.82,0.0,1.9000000000000057,60.62,85.78,1.2199999999999989,2.280000000000001,59.92,1.4699999999999989,53.17,25.939999999999998,26.209999999999994,87.28999999999999,21.299999999999997,40.82,14.849999999999994,40.42,92.05,76.34,9.409999999999997,43.74,37.78,2.4099999999999966,14.329999999999998,13.450000000000003,67.95,35.95,11.280000000000001,79.24,8.959999999999994,29.549999999999997,66.37,93.46,61.7,63.92,74.44,37.18,52.59,29.97,39.84,41.26,60.92,3.6299999999999955,19.89,6.349999999999994,43.6,40.87,73.05,100.0,19.28,17.849999999999994,53.76,52.46,23.409999999999997,83.25,4.400000000000006,71.51,4.569999999999993,24.409999999999997,0.8199999999999932,30.310000000000002,65.25,71.87,95.81,0.6899999999999977,43.89,8.019999999999996,30.650000000000006,43.57,24.700000000000003,36.06,19.599999999999994,43.66,9.150000000000006,0.39000000000000057,37.03,29.989999999999995,14.5,55.91,16.090000000000003,41.94
